municipal,tax,churchtax,child_deduction,connected_to_center,distance_to_center,cost_group
Fugloyar,16.00,0.60,10000,0,5,1
Viðareiðis,20.50,0.60,7500,1,4,1
Hvannasunds,19.75,0.90,7000,1,4,1
Klaksvíkar,20.75,0.60,5500,1,3,3
Kunoyar,18.50,0.60,7000,1,4,1
Fuglafjarðar,21.50,0.60,6500,1,3,3
Eystur,21.00,0.90,8000,1,3,3
Nes,20.50,0.60,5500,1,3,2
Runavíkar,22.00,0.60,6500,1,3,3
Sjóvar,21.00,0.60,7000,1,3,2
Eiðis,18.75,0.60,7500,1,2,2
Sunda,21.50,0.60,5000,1,2,2
Kvívíkar,20.75,0.60,5100,1,3,2
Vestmanna,21.50,0.60,5000,1,3,2
Vága,22.00,0.60,5500,1,3,2
Sørvágs,21.70,0.60,6000,1,3,2
Sands,21.00,0.60,8500,1,3,1
Skopunar,21.75,0.60,6000,1,3,1
Skálavíkar,22.00,0.60,6500,1,3,1
Húsavíkar,21.00,0.60,5000,1,3,1
Skúvoyar,16.00,0.60,8000,0,5,1
Hvalbiar,19.95,0.60,6500,0,5,1
Tvøroyrar,21.90,0.60,7000,0,5,2
Fámjins,19.00,0.60,7000,0,5,1
Hovs,20.00,0.60,6000,0,5,1
Porkeris,20.75,0.60,7000,0,5,1
Vágs,21.95,0.60,4500,0,5,1
Sumbiar,19.00,0.60,6500,0,5,1
Tórshavnar,19.00,0.60,8000,1,1,5
